"link_id","vanish"
"2420157501",1.01
"2420158000",1.03
"2420162402",0.92
"2420162403",0.97
"2420162404",1.01
"2420163201",1.06
"2420163203",1.0
"2420163204",1.02
"2420011000",3.14
"2420082601",1.11
"2420082602",1.0
"2420082801",1.04
"2420082802",1.03
"2420096600",10.0
"2420097200",0.21
"2420105100",0.04
"2420105200",5.75
"2420117501",3.36
"2420076200",1.6
"2420084601",1.0
"2420084602",1.0
"2420084901",10.0
"2420084902",0.91
"2420092700",1.58
"2420092900",0.84
"2420095800",1.71
"2420096100",0.87
"2420096600",10.0
"2420097200",0.21
"2420103600",1.05
