"from_link","to_link","weight"
"2420033300","2420031600",10.0
"2420033300","2420265700",7.0
"2420265600","2420031600",23.0
"2420265600","2420265800",6.0
"2420265900","2420265700",18.0
"2420265900","2420265800",3.0
"1663162600","2420039301",68.0
"1663162600","2420265900",1.0
"2420031600","2420029800",12.0
"2420031600","2420039301",22.0
"2420039202","2420029800",89.0
"2420039202","2420265900",15.0
"2420043900","2420046400",2.0
"2420043900","2420272601",0.0
"2420043900","2420273101",1.0
"2420046200","2420043800",3.0
"2420046200","2420272601",1.0
"2420046200","2420273101",2.0
"2420272701","2420043800",1.0
"2420272701","2420046400",0.0
"2420272701","2420273101",1.0
"2420273001","2420043800",6.0
"2420273001","2420046400",5.0
"2420273001","2420272601",31.0
"2420046400","2420048300",0.0
"2420048200","2420046200",0.0
"2420049600","2420049400",11.0
"2420049600","2420273501",28.0
"2420049900","2420050200",10.0
"2420049900","2420054100",2.0
"2420049900","2420273501",5.0
"2420054000","2420049400",3.0
"2420054000","2420050200",28.0
"2420054000","2420273501",76.0
"2420273401","2420049400",4.0
"2420273401","2420050200",21.0
"2420273401","2420054100",70.0
"2420048300","2420049800",1.0
"2420048300","2420049900",2.0
"2420049400","2420048200",5.0
"2420049400","2420049800",12.0
"2420050500","2420048200",1.0
"2420050500","2420049900",11.0
"2420050200","2420051300",59.0
"2420050200","2420051700",59.0
"2420050900","2420049600",35.0
"2420050900","2420220200",34.0
"2420051400","2420049600",31.0
"2420051400","2420220200",6.0
"2420220100","2420049600",5.0
"2420220100","2420051300",10.0
"2420220100","2420051700",10.0
"2420049800","2420056800",0.0
"2420049800","2420272501",0.0
"2420056700","2420050500",0.0
"2420056700","2420272501",0.0
"2420272401","2420050500",0.0
"2420272401","2420056800",0.0
"2420054100","2420057100",0.0
"2420054100","2420059300",0.0
"2420056500","2420054000",0.0
"2420056500","2420059300",0.0
"2420059200","2420054000",0.0
"2420059200","2420057100",0.0
"2420059300","2420062600",4.0
"2420059300","2420068100",78.0
"2420059300","2420209400",4.0
"2420062900","2420059200",4.0
"2420062900","2420068100",2.0
"2420062900","2420209400",1.0
"2420068200","2420059200",88.0
"2420068200","2420062600",4.0
"2420068200","2420209400",4.0
"2420209300","2420059200",4.0
"2420209300","2420062600",0.0
"2420209300","2420068100",7.0
"2420056800","2420062900",0.0
"2420056800","2420067900",0.0
"2420062600","2420056700",0.0
"2420062600","2420067900",0.0
"2420068000","2420056700",0.0
"2420068000","2420062900",0.0
"2420067900","2420072700",0.0
"2420067900","2420072900",0.0
"2420072600","2420068000",0.0
"2420072600","2420072700",0.0
"2420072800","2420068000",0.0
"2420072800","2420072900",0.0
"2420068100","2420072600",4.0
"2420068100","2420075701",84.0
"2420072900","2420068200",6.0
"2420072900","2420075701",4.0
"2420075802","2420068200",96.0
"2420075802","2420072600",7.0
"2420075702","2420079500",3.0
"2420075702","2420082300",35.0
"2420075702","2420091200",53.0
"2420080000","2420075801",5.0
"2420080000","2420082300",20.0
"2420080000","2420091200",4.0
