"ks_node_id","int_phaseno","int_ring","from_link","to_link","direction"
"2420000600",1,1,"2420004002","2420004101",FORWARD
"2420000600",1,2,"2420003802","2420003701",FORWARD
"2420000600",2,1,,,
"2420000600",2,2,,,
"2420000600",3,1,"2420004600","2420002000",FORWARD
"2420000600",3,2,"2420002200","2420004500",FORWARD
"2420000700",1,1,"2420004700","2420002500",FORWARD
"2420000700",1,2,"2420002600","2420004900",FORWARD
"2420000700",2,1,,,
"2420000700",2,2,,,
"2420000700",3,1,"2420004202","2420004003",FORWARD
"2420000700",3,2,"2420003704","2420003901",FORWARD
"2420000800",1,1,"2420006000","2420002900",FORWARD
"2420000800",1,2,"2420003000","2420005900",FORWARD
"2420000800",2,1,"2420003904","2420005900",LEFT
"2420000800",2,2,"2420003904","2420005900",LEFT
"2420000800",3,1,,,
"2420000800",3,2,,,
"2420000900",1,1,"2420005000","1663135300",FORWARD
"2420000900",1,2,"2420002800","2420005100",FORWARD
"2420000900",2,1,"2420005000","1663135300",FORWARD
"2420000900",2,2,"2420005000","2420003805",LEFT
"2420000900",3,1,,,
"2420000900",3,2,"2420004106","1663135300",LEFT
"2420000900",4,1,,,
"2420000900",4,2,,,
"2420001500",1,1,"2420006300","2420004600",FORWARD
"2420001500",1,2,"2420006300","2420005600",LEFT
"2420001500",2,1,"2420004500","2420006200",FORWARD
"2420001500",2,2,"2420004500","2420006200",FORWARD
"2420001500",3,1,"2420005800","2420006200",LEFT
"2420001500",3,2,"2420005800","2420005600",FORWARD
"2420001600",1,1,"2420006400","2420004700",FORWARD
"2420001600",1,2,"2420004900","2420006500",FORWARD
"2420001600",2,1,"2420005600","2420006500",LEFT
"2420001600",2,2,,,
"2420001600",3,1,"2420006400","2420004700",FORWARD
"2420001600",3,2,"2420004900","2420006500",FORWARD
"2420001600",4,1,"2420005600","2420006500",LEFT
"2420001600",4,2,,,
"2420002100",1,1,"2420009200","2420007100",FORWARD
"2420002100",1,2,"2420009200","2420007300",LEFT
"2420002100",2,1,"2420007200","2420009100",LEFT
"2420002100",2,2,"2420007200","2420009300",FORWARD
"2420002100",3,1,"2420007600","2420009100",FORWARD
"2420002100",3,2,"2420007600","2420007100",LEFT
"2420002200",1,1,"2420009000","2420268200",FORWARD
"2420002200",1,2,,,
"2420002200",2,1,,,
"2420002200",2,2,"2420005300","2420008800",FORWARD
"2420002200",3,1,"2420007400","2420009400",FORWARD
"2420002200",3,2,"2420007400","2420268200",LEFT
"2420002500",1,1,"2420010900","2420006700",FORWARD
"2420002500",1,2,"2420010900","2420009500",LEFT
"2420002500",1,2,"2420010900","2420008900",LEFT
"2420002500",2,1,,,
"2420002500",2,2,"2420011100","2420009500",FORWARD
"2420002500",2,2,"2420011100","2420008900",FORWARD
"2420002500",2,2,"2420010700","2420009500",FORWARD
"2420002500",2,2,"2420010700","2420008900",FORWARD
"2420002500",3,1,"2420009400","2420011000",FORWARD
"2420002500",3,2,"2420009400","2420006700",LEFT
"2420002500",4,1,"2420006600","2420011000",LEFT
"2420002500",4,2,"2420006600","2420010800",FORWARD
"2420002600",1,1,"2420011800","2420006000",FORWARD
"2420002600",1,2,"2420005900","2420011700",FORWARD
"2420002600",2,1,"2420005900","2420010100",LEFT
"2420002600",2,2,,,
"2420002600",3,1,"2420257700","2420010100",FORWARD
"2420002600",3,2,"2420257700","2420006000",LEFT
"2420002600",4,1,"2420009700","2420011700",LEFT
"2420002600",4,2,,,
"2420002700",1,1,,,
"2420002700",1,2,"2420009900","2420009700",FORWARD
"2420002700",2,1,"2420013700","2420008300",FORWARD
"2420002700",2,2,"2420013700","2420009700",LEFT
"2420002700",3,1,"2420010100","2420010300",FORWARD
"2420002700",3,2,"2420010100","2420008300",LEFT
"2420002700",4,1,"2420008200","2420010300",LEFT
"2420002700",4,2,"2420008200","2420013600",FORWARD
"2420002700",5,1,,,
"2420002700",5,2,,,
"2420002800",1,1,"2420010300","2420010500",FORWARD
"2420002800",1,2,"2420010300","2420008700",LEFT
"2420002800",2,1,"2420015500","2420008700",FORWARD
"2420002800",2,2,"2420015500","2420009900",LEFT
"2420002800",3,1,"2420010000","2420015400",LEFT
"2420002800",3,2,"2420010000","2420009900",FORWARD
"2420002800",4,1,"2420008400","2420010500",LEFT
"2420002800",4,2,"2420008400","2420015400",FORWARD
"2420002800",5,1,,,
"2420002800",5,2,,,
"2420002900",1,1,"2420014000","2420009200",FORWARD
"2420002900",1,2,"2420014000","2420010000",LEFT
"2420002900",2,1,,,
"2420002900",2,2,"2420009300","2420013900",FORWARD
"2420002900",3,1,,,
"2420002900",3,2,,,
"2420002900",4,1,,,
"2420002900",4,2,,,
