날짜,측정 시작 시각,측정 종료 시각,통과차량
2023-08-17,0:00,1:00,30
2023-08-17,1:00,2:00,31
2023-08-17,2:00,3:00,15
2023-08-17,3:00,4:00,5
2023-08-17,4:00,5:00,10
2023-08-17,5:00,6:00,64
2023-08-17,6:00,7:00,79
2023-08-17,7:00,8:00,122
2023-08-17,8:00,9:00,184
2023-08-17,9:00,10:00,158
2023-08-17,10:00,11:00,90
2023-08-17,11:00,12:00,94
2023-08-17,12:00,13:00,120
2023-08-17,13:00,14:00,110
2023-08-17,14:00,15:00,106
2023-08-17,15:00,16:00,108
2023-08-17,16:00,17:00,132
2023-08-17,17:00,18:00,167
2023-08-17,18:00,19:00,139
2023-08-17,19:00,20:00,97
2023-08-17,20:00,21:00,86
2023-08-17,21:00,22:00,76
2023-08-17,22:00,23:00,79
2023-08-17,23:00,0:00,67
2023-08-18,0:00,1:00,29
2023-08-18,1:00,2:00,33
2023-08-18,2:00,3:00,19
2023-08-18,3:00,4:00,8
2023-08-18,4:00,5:00,16
2023-08-18,5:00,6:00,60
2023-08-18,6:00,7:00,82
2023-08-18,7:00,8:00,121
2023-08-18,8:00,9:00,190
2023-08-18,9:00,10:00,160
2023-08-18,10:00,11:00,80
2023-08-18,11:00,12:00,87
2023-08-18,12:00,13:00,131
2023-08-18,13:00,14:00,108
2023-08-18,14:00,15:00,110
2023-08-18,15:00,16:00,111
2023-08-18,16:00,17:00,112
2023-08-18,17:00,18:00,158
2023-08-18,18:00,19:00,120
2023-08-18,19:00,20:00,108
2023-08-18,20:00,21:00,94
2023-08-18,21:00,22:00,88
2023-08-18,22:00,23:00,79
2023-08-18,23:00,0:00,66
